bin #  <Q2>   <xB>   <-t>
1  4.24881   0.0026258   0.0111932
2  4.24844   0.00262576   0.0141524
3  4.24877   0.00262592   0.017899
4  4.24854   0.00262563   0.0223635
5  4.24853   0.00262524   0.0278256
6  4.24819   0.00262565   0.0351598
7  4.24836   0.00262527   0.0446381
8  4.24853   0.00262513   0.0575718
9  4.24944   0.00262519   0.0769684
10  4.24906   0.00262489   0.102694
11  4.24892   0.00262447   0.134631
12  4.24765   0.00262215   0.172987
13  4.24807   0.00262208   0.222082
14  4.24133   0.00262205   0.286906
15  4.68001   0.00304451   0.0111915
16  4.67933   0.00304456   0.0141539
17  4.67853   0.00304431   0.0178972
18  4.67975   0.00304427   0.0223606
19  4.67863   0.00304403   0.0278265
20  4.67999   0.00304447   0.0351572
21  4.68044   0.0030441   0.0446206
22  4.68059   0.00304425   0.0575399
23  4.68198   0.00304358   0.0769715
24  4.67946   0.00304289   0.102672
25  4.68216   0.00304366   0.134528
26  4.68511   0.00304324   0.172737
27  4.68992   0.00304215   0.221991
28  4.67532   0.00303691   0.286884
29  5.31882   0.00362686   0.0111918
30  5.31795   0.00362687   0.0141562
31  5.31888   0.00362717   0.0178953
32  5.31945   0.00362677   0.0223624
33  5.31987   0.00362693   0.0278204
34  5.31964   0.00362695   0.0351566
35  5.31939   0.00362692   0.0446317
36  5.31904   0.00362608   0.0575519
37  5.32138   0.00362653   0.0769608
38  5.31805   0.00362589   0.102648
39  5.3172   0.00362516   0.134414
40  5.32213   0.00362659   0.172856
41  5.3156   0.00362897   0.221867
42  5.24228   0.00362522   0.2877
43  6.16843   0.00436957   0.0111928
44  6.16524   0.00437018   0.0141552
45  6.1625   0.00437008   0.0178947
46  6.16401   0.00436893   0.0223601
47  6.16706   0.00436984   0.027822
48  6.1655   0.0043695   0.0351602
49  6.16362   0.00436967   0.0446321
50  6.161   0.00436888   0.0575474
51  6.16501   0.00436876   0.0769604
52  6.16073   0.00436921   0.102634
53  6.16064   0.00437022   0.134449
54  6.14531   0.00437009   0.172777
55  6.13155   0.00436735   0.221756
56  6.01095   0.00438353   0.288458
57  7.1497   0.00521492   0.011192
58  7.15512   0.00521535   0.0141582
59  7.15065   0.0052147   0.0178969
60  7.15388   0.00521569   0.0223573
61  7.15544   0.00521637   0.0278297
62  7.14672   0.00521573   0.0351566
63  7.15013   0.00521511   0.0446119
64  7.148   0.00521541   0.0575441
65  7.14229   0.00521469   0.0769616
66  7.14193   0.00521412   0.102554
67  7.14593   0.00521292   0.134485
68  7.12115   0.00521486   0.172715
69  7.03742   0.00521963   0.222517
70  6.69238   0.00522663   0.288646
71  8.32811   0.00620443   0.0111935
72  8.32962   0.00620455   0.0141554
73  8.32997   0.0062038   0.0178989
74  8.32907   0.0062051   0.0223595
75  8.32311   0.00620428   0.0278223
76  8.32466   0.00620509   0.0351523
77  8.3226   0.0062041   0.0446298
78  8.31436   0.00620334   0.0575519
79  8.31314   0.00620389   0.0769115
80  8.30507   0.00620512   0.102576
81  8.28096   0.00620613   0.134304
82  8.24453   0.00620316   0.172648
83  8.09991   0.00620822   0.222255
84  7.59623   0.00620612   0.290047
85  10.6382   0.00810432   0.0111947
86  10.635   0.00810605   0.0141564
87  10.6223   0.0081021   0.0178961
88  10.6319   0.00810514   0.0223623
89  10.6207   0.00810556   0.0278191
90  10.6202   0.00810173   0.0351591
91  10.6154   0.00810485   0.0446303
92  10.6061   0.00810371   0.0575502
93  10.585   0.00809828   0.0769111
94  10.5515   0.00809855   0.102555
95  10.5345   0.00810356   0.134458
96  10.4543   0.00809649   0.17285
97  10.2966   0.00809665   0.222096
98  9.58597   0.00814915   0.289486
99  15.4464   0.0120077   0.0111908
100  15.415   0.0120046   0.0141523
101  15.4067   0.011995   0.0178937
102  15.4075   0.0120038   0.0223612
103  15.4068   0.0120027   0.0278258
104  15.3909   0.0120052   0.0351474
105  15.3882   0.0120029   0.0446276
106  15.3341   0.0120091   0.057524
107  15.3491   0.0120093   0.076915
108  15.2669   0.0120002   0.10256
109  15.2629   0.0119867   0.134563
110  15.1392   0.012019   0.173027
111  14.521   0.0120188   0.223221
112  12.8249   0.0120651   0.289143
113  21.1014   0.0193279   0.0111927
114  21.0598   0.019369   0.014154
115  21.0811   0.019373   0.0178994
116  21.0512   0.0193916   0.02236
117  21.0223   0.0194853   0.0278144
118  20.9698   0.019403   0.0351424
119  20.9377   0.0194816   0.0446305
120  20.8737   0.0194957   0.0575804
121  20.7746   0.0195379   0.0770137
122  20.643   0.0196576   0.102588
123  20.5013   0.0197455   0.134504
124  19.8138   0.0200277   0.173108
125  18.6664   0.0202033   0.22249
126  14.7803   0.023568   0.294582
